Date,count,score_mean,score_max,score_min,score_pos_std,score_neg_std
2024-04-30,13,0.32549232244491577,0.8126000165939331,-0.8442000150680542,0.14152541756629944,0.032950013875961304
2024-04-29,12,0.287241667509079,0.8554999828338623,-0.12800000607967377,0.29549476504325867,0.0
2024-04-28,2,0.18060000240802765,0.3612000048160553,0.0,0.0,0.0
2024-04-27,2,-0.14800000190734863,0.0,-0.29600000381469727,0.0,0.0
2024-04-26,8,-0.149275004863739,0.0,-0.7002999782562256,0.0,0.10319998860359192
2024-04-25,11,0.21250000596046448,0.8073999881744385,-0.5105999708175659,0.15647755563259125,0.008349984884262085
2024-04-24,4,0.4069499969482422,0.7429999709129333,0.29440000653266907,0.19401966035366058,0.0
2024-04-23,13,0.23290766775608063,0.6123999953269958,-0.6123999953269958,0.08168777078390121,0.1848907172679901
2024-04-22,11,-0.08581817895174026,0.45879998803138733,-0.5719000101089478,0.1745484173297882,0.07044174522161484
2024-04-21,1,-0.27320000529289246,-0.27320000529289246,-0.27320000529289246,0.0,0.0
2024-04-20,3,0.18076665699481964,0.5422999858856201,0.0,0.0,0.0
2024-04-19,12,-0.008350002579391003,0.47540000081062317,-0.6808000206947327,0.08822206407785416,0.2128649204969406
2024-04-18,8,0.36326250433921814,0.636900007724762,-0.22630000114440918,0.1659245491027832,0.0
2024-04-17,7,-0.15465714037418365,0.3400000035762787,-0.6485999822616577,0.0,0.2111443132162094
2024-04-16,12,0.39190831780433655,0.7778000235557556,0.0,0.1816774308681488,0.0
2024-04-15,13,-0.08316154032945633,0.7429999709129333,-0.7429999709129333,0.14933115243911743,0.19802173972129822
2024-04-14,7,0.07508570700883865,0.5859000086784363,-0.22630000114440918,0.006999999284744263,0.0734008327126503
2024-04-13,2,-0.8270999789237976,-0.8270999789237976,-0.8270999789237976,0.0,0.0
2024-04-12,6,0.23189999163150787,0.5105999708175659,-0.025800000876188278,0.1918126344680786,0.0
2024-04-11,3,-0.032866667956113815,0.45879998803138733,-0.5573999881744385,0.0,0.0
2024-04-10,7,0.3530714213848114,0.6908000111579895,-0.7573999762535095,0.08361529558897018,0.0
2024-04-09,17,0.18604117631912231,0.7002999782562256,-0.25,0.16263611614704132,0.050234269350767136
2024-04-08,8,-0.010300002992153168,0.8073999881744385,-0.4767000079154968,0.21279999613761902,0.07471762597560883
2024-04-07,1,0.0,0.0,0.0,0.0,0.0
2024-04-06,0,0.0,0.0,0.0,0.0,0.0
2024-04-05,5,0.02054000087082386,0.10270000249147415,0.0,0.0,0.0
2024-04-04,7,0.1648142784833908,0.4018999934196472,0.0,0.11462105065584183,0.0
2024-04-03,9,0.16965556144714355,0.4018999934196472,0.0,0.07922033220529556,0.0
2024-04-02,13,0.19799230992794037,0.5983999967575073,-0.6123999953269958,0.16442543268203735,0.0
2024-04-01,3,0.27853333950042725,0.6808000206947327,0.0,0.2630000114440918,0.0
2024-03-31,0,0.0,0.0,0.0,0.0,0.0
2024-03-30,0,0.0,0.0,0.0,0.0,0.0
2024-03-29,4,0.48944997787475586,0.5573999881744385,0.42149999737739563,0.06794999539852142,0.0
2024-03-28,14,-0.19584999978542328,0.6417999863624573,-0.8806999921798706,0.1867912858724594,0.2625696063041687
2024-03-27,9,-0.07670000195503235,0.5719000101089478,-0.5267000198364258,0.16095000505447388,0.03200837969779968
2024-03-26,14,-9.286190470447764e-05,0.8270999789237976,-0.8442000150680542,0.24348388612270355,0.0018856219248846173
2024-03-25,11,-0.04450908675789833,0.3400000035762787,-0.4018999934196472,0.0,0.1772952377796173
2024-03-24,1,0.0,0.0,0.0,0.0,0.0
2024-03-23,6,0.07339999824762344,0.44040000438690186,0.0,0.0,0.0
2024-03-22,14,0.22125713527202606,0.8956999778747559,-0.12800000607967377,0.17912587523460388,0.0
2024-03-21,6,-0.23568332195281982,0.25,-0.9061999917030334,0.0,0.07414999604225159
2024-03-20,9,0.031055549159646034,0.7350999712944031,-0.7649999856948853,0.20334215462207794,0.2784881591796875
2024-03-19,18,0.21585001051425934,0.79830002784729,-0.5267000198364258,0.18339595198631287,0.06240001320838928
2024-03-18,13,0.048176925629377365,0.47540000081062317,-0.4018999934196472,0.21151378750801086,0.010049998760223389
2024-03-17,1,0.0,0.0,0.0,0.0,0.0
2024-03-16,2,-0.22085000574588776,0.0,-0.4417000114917755,0.0,0.0
2024-03-15,23,0.1276739239692688,0.8019999861717224,-0.7095999717712402,0.14708755910396576,0.15852059423923492
2024-03-14,9,0.16313332319259644,0.6596999764442444,-0.17790000140666962,0.2491004765033722,0.0
2024-03-13,18,0.3229166567325592,0.8206999897956848,-0.6248999834060669,0.20970846712589264,0.0
2024-03-12,15,0.16704000532627106,0.8590999841690063,-0.3400000035762787,0.3187013268470764,0.01090000569820404
2024-03-11,26,0.29080384969711304,0.9286999702453613,-0.3612000048160553,0.24513086676597595,0.1231226697564125
2024-03-10,2,-0.6114000082015991,-0.5859000086784363,-0.636900007724762,0.0,0.025499999523162842
2024-03-09,6,-0.0883166715502739,0.0,-0.4018999934196472,0.0,0.13695000112056732
2024-03-08,10,0.1265999972820282,0.7268999814987183,0.0,0.22821439802646637,0.0
2024-03-07,15,0.09749999642372131,0.8544999957084656,-0.42149999737739563,0.19652396440505981,0.0798172652721405
2024-03-06,20,0.3672800064086914,0.8934000134468079,-0.4018999934196472,0.13199248909950256,0.12439999729394913
2024-03-05,35,0.16876287758350372,0.9480999708175659,-0.7268999814987183,0.2342800498008728,0.19134411215782166
