Date,count,score_mean,score_max,score_min,score_pos_std,score_neg_std
2024-04-30,13,0.19982311129570007,0.8126000165939331,-0.8442000150680542,0.20032577216625214,0.23397788405418396
2024-04-29,12,0.21595001220703125,0.8554999828338623,-0.12800000607967377,0.29765093326568604,0.0
2024-04-28,1,0.3612000048160553,0.3612000048160553,0.3612000048160553,0.0,0.0
2024-04-27,1,-0.29600000381469727,-0.29600000381469727,-0.29600000381469727,0.0,0.0
2024-04-26,6,-0.19903333485126495,0.0,-0.7002999782562256,0.0,0.10319998860359192
2024-04-25,12,0.08047500997781754,0.8073999881744385,-0.5105999708175659,0.16323763132095337,0.018708057701587677
2024-04-24,4,0.2141750007867813,0.7429999709129333,-0.4767000079154968,0.211095929145813,0.0
2024-04-23,13,0.22625383734703064,0.6123999953269958,-0.6123999953269958,0.1093180850148201,0.2048252522945404
2024-04-22,13,0.0552000030875206,0.636900007724762,-0.5719000101089478,0.22189992666244507,0.14233523607254028
2024-04-21,2,-0.27320000529289246,-0.27320000529289246,-0.27320000529289246,0.0,0.0
2024-04-20,3,0.18076665699481964,0.5422999858856201,0.0,0.0,0.0
2024-04-19,15,0.061219993978738785,0.47540000081062317,-0.3181999921798706,0.08582288771867752,0.1088624894618988
2024-04-18,8,0.33705002069473267,0.6596999764442444,-0.45879998803138733,0.16978958249092102,0.0
2024-04-17,8,-0.1778249889612198,0.0,-0.6485999822616577,0.0,0.2111443132162094
2024-04-16,15,0.2951733469963074,0.7778000235557556,0.0,0.18649400770664215,0.0
2024-04-15,15,-0.11526000499725342,0.7429999709129333,-0.7429999709129333,0.14933115243911743,0.18353864550590515
2024-04-14,6,0.12531666457653046,0.5859000086784363,-0.22630000114440918,0.006999999284744263,0.071507528424263
2024-04-13,1,-0.8270999789237976,-0.8270999789237976,-0.8270999789237976,0.0,0.0
2024-04-12,6,0.11726665496826172,0.5105999708175659,-0.27320000529289246,0.2139190435409546,0.0
2024-04-11,3,-0.032866667956113815,0.45879998803138733,-0.5573999881744385,0.0,0.0
2024-04-10,5,0.022300004959106445,0.6908000111579895,-0.7573999762535095,0.10540041327476501,0.0
2024-04-09,15,0.28041332960128784,0.7002999782562256,-0.25,0.14577975869178772,0.06415815651416779
2024-04-08,6,0.14516665041446686,0.8073999881744385,-0.3181999921798706,0.21279999613761902,0.0
2024-04-07,1,0.0,0.0,0.0,0.0,0.0
2024-04-06,0,0.0,0.0,0.0,0.0,0.0
2024-04-05,10,0.15667998790740967,0.70169997215271,0.0,0.2893812358379364,0.0
2024-04-04,6,0.17516666650772095,0.4018999934196472,0.0,0.10629808157682419,0.0
2024-04-03,10,0.29559001326560974,0.8658000230789185,0.0,0.2998981773853302,0.0
2024-04-02,16,0.14123749732971191,0.5983999967575073,-0.6123999953269958,0.17834997177124023,0.28040000796318054
2024-04-01,6,-0.062316667288541794,0.15479999780654907,-0.5422999858856201,0.0,0.12314999103546143
2024-03-31,0,0.0,0.0,0.0,0.0,0.0
2024-03-30,0,0.0,0.0,0.0,0.0,0.0
2024-03-29,4,0.45547500252723694,0.5573999881744385,0.42149999737739563,0.058846425265073776,0.0
2024-03-28,12,0.03704167157411575,0.6417999863624573,-0.8806999921798706,0.22872039675712585,0.29265013337135315
2024-03-27,8,0.12193749845027924,0.6123999953269958,-0.45879998803138733,0.16213630139827728,0.0
2024-03-26,19,0.17782633006572723,0.8270999789237976,-0.8442000150680542,0.2216075360774994,0.33215299248695374
2024-03-25,9,-0.0543999969959259,0.3400000035762787,-0.4018999934196472,0.0,0.1772952377796173
2024-03-24,1,0.0,0.0,0.0,0.0,0.0
2024-03-23,3,0.1467999964952469,0.44040000438690186,0.0,0.0,0.0
2024-03-22,11,0.10969089716672897,0.8956999778747559,-0.7184000015258789,0.25303661823272705,0.2783172130584717
2024-03-21,10,-0.1959099918603897,0.3612000048160553,-0.9061999917030334,0.05560000240802765,0.06990928947925568
2024-03-20,11,0.011136358603835106,0.7350999712944031,-0.7649999856948853,0.2731655538082123,0.2806519865989685
2024-03-19,26,0.1295153945684433,0.79830002784729,-0.5267000198364258,0.24122405052185059,0.05883129686117172
2024-03-18,13,-0.0626923143863678,0.47540000081062317,-0.49390000104904175,0.18515841662883759,0.04890678822994232
2024-03-17,1,0.0,0.0,0.0,0.0,0.0
2024-03-16,4,-0.1702750027179718,0.20229999721050262,-0.4417000114917755,0.0,0.0
2024-03-15,28,0.10323572158813477,0.8019999861717224,-0.8073999881744385,0.1540825515985489,0.24876992404460907
2024-03-14,18,0.2298055738210678,0.6596999764442444,-0.17790000140666962,0.1936662197113037,0.0
2024-03-13,19,0.1941000074148178,0.8206999897956848,-0.6248999834060669,0.23095037043094635,0.16444998979568481
2024-03-12,18,0.1632833182811737,0.8590999841690063,-0.5719000101089478,0.3416166603565216,0.10394392162561417
2024-03-11,31,0.26159998774528503,0.9286999702453613,-0.28459998965263367,0.24771572649478912,0.10621678829193115
2024-03-10,2,-0.6114000082015991,-0.5859000086784363,-0.636900007724762,0.0,0.025499999523162842
2024-03-09,4,-0.13247500360012054,0.0,-0.4018999934196472,0.0,0.13695000112056732
2024-03-08,16,0.06546249985694885,0.7268999814987183,-0.7782999873161316,0.20063947141170502,0.0
2024-03-07,14,0.1302785724401474,0.8544999957084656,-0.42149999737739563,0.2447824329137802,0.07069367170333862
2024-03-06,18,0.39658334851264954,0.8934000134468079,-0.4018999934196472,0.12969577312469482,0.0
2024-03-05,28,0.16034284234046936,0.9480999708175659,-0.7268999814987183,0.282595694065094,0.22389259934425354
