Date,Open,High,Low,Close,Volume,Marketcap,Vol/Cap,HL_spread,OC_spread
2024-04-30,1.00000376,1.001345984,0.999332678,0.999935737,8551034898.0,33206036196,0.2575144725954993,0.002013306000000048,6.802299999997263e-05
2024-04-29,1.000069771,1.001169532,0.999674051,1.000010623,6353850718.0,33327731767,0.19064755928848928,0.0014954810000000762,5.914799999984233e-05
2024-04-28,1.000034297,1.000945134,0.999634832,1.000063717,4003587751.0,33500399323,0.11950865756550254,0.00131030199999993,-2.941999999994671e-05
2024-04-27,0.999998732,1.001309337,0.999642057,1.000033833,4837869303.0,33486451872,0.14447243683781344,0.0016672799999999377,-3.510100000003735e-05
2024-04-26,1.00004862,1.001212124,0.999623257,1.00007618,6238863810.0,33389487896,0.18685113798188574,0.0015888670000000493,-2.7559999999926532e-05
2024-04-25,1.000255272,1.00114987,0.999579734,1.000001078,7296808841.0,33354452182,0.21876566286217652,0.0015701360000001108,0.0002541940000000409
2024-04-24,0.999991481,1.00105124,0.999590812,1.000452201,7285867078.0,33417981493,0.21802235660242245,0.0014604280000000136,-0.00046072000000008106
2024-04-23,1.000037218,1.000840617,0.999679329,0.999998024,5682840288.0,33636596714,0.16894813516121046,0.001161287999999927,3.9193999999853624e-05
2024-04-22,1.000084275,1.000996146,0.999570939,1.000050379,7099413055.0,33797045596,0.21006016738457875,0.0014252070000000394,3.3896000000144255e-05
2024-04-21,1.000041004,1.000884382,0.99960443,1.000006545,4622993536.0,33943490879,0.13619676162595676,0.0012799519999999731,3.445900000009772e-05
2024-04-20,1.000215551,1.000959997,0.999663557,1.000059448,5172051416.0,33956406955,0.15231444901853575,0.0012964400000000653,0.0001561029999999075
2024-04-19,1.000148921,1.000883121,0.999539206,1.000090191,11026707590.0,33903114125,0.32524173293771136,0.0013439149999999733,5.8730000000117855e-05
2024-04-18,0.999997029,1.001172289,0.999437692,1.000162226,8537096534.0,33091006375,0.2579884225113719,0.0017345970000001154,-0.00016519700000006132
2024-04-17,1.000065436,1.001102426,0.999368867,1.000003364,8797320706.0,32578893522,0.27003129188716346,0.0017335590000000511,6.207200000019064e-05
2024-04-16,1.000098234,1.001165057,0.99946288,1.000000696,9306979016.0,32602852372,0.28546517678290706,0.0017021769999998604,9.75379999998971e-05
2024-04-15,1.000306049,1.001019027,0.999266363,1.000155733,9899289273.0,32420066999,0.3053445038625412,0.0017526639999998483,0.0001503160000000392
2024-04-14,1.000013865,1.001199801,0.999086596,1.000290645,10996382552.0,32348682413,0.3399329348752972,0.002113205000000007,-0.0002767800000000875
2024-04-13,0.999937589,1.001730373,0.998970451,0.999940152,12008147392.0,32253243127,0.3723082154782654,0.0027599219999999702,-2.563000000010973e-06
2024-04-12,1.000325039,1.001660231,0.999218632,0.999961518,10539883881.0,31935616299,0.33003539942111704,0.002441598999999961,0.0003635210000000333
2024-04-11,1.000028461,1.001080637,0.999417181,1.000313625,7223448243.0,32220562979,0.22418752421265692,0.001663456000000063,-0.0002851639999998934
2024-04-10,0.99998398,1.001062248,0.999442357,1.000163816,7603456293.0,32136092859,0.2366017650733351,0.00161989100000004,-0.00017983599999993327
2024-04-09,1.00027397,1.00086463,0.999522594,0.999992556,7949691378.0,32293564268,0.24616952504921932,0.0013420359999999354,0.00028141400000003536
2024-04-08,0.999950483,1.001032344,0.999390344,1.000210499,8121148241.0,32617140081,0.2489840685244718,0.0016419999999999213,-0.00026001600000002956
2024-04-07,1.000071236,1.000292706,0.999379723,0.999921414,4713439433.0,32937732237,0.14310151649436398,0.0009129829999999783,0.00014982199999991064
2024-04-06,0.999889459,1.000306431,0.999535873,1.000055597,8021149275.0,32925911206,0.24361206664307372,0.0007705580000000323,-0.00016613799999998236
2024-04-05,1.000027872,1.000616974,0.999336301,0.999855418,13790745235.0,32919343283,0.4189252840326778,0.001280672999999899,0.00017245399999998856
2024-04-04,0.999954596,1.000272706,0.999082664,1.000040359,12034799564.0,33021516120,0.3644532710207977,0.0011900420000000578,-8.576299999996095e-05
2024-04-03,1.000004703,1.000472468,0.999345983,0.999998108,9728672985.0,32918882205,0.2955347306271027,0.0011264849999998994,6.5950000001091524e-06
2024-04-02,1.000058707,1.000535395,0.998989158,0.999995935,12493890476.0,32836983601,0.38048228265459555,0.0015462370000000059,6.277200000004424e-05
2024-04-01,0.999974016,1.001276879,0.999686142,1.000047628,9035171770.0,32688138286,0.2764052113016688,0.0015907369999998977,-7.361199999988965e-05
2024-03-31,0.999985366,1.000894768,0.999653066,0.999998453,5561724629.0,32419596997,0.17155440363785718,0.0012417019999999557,-1.308700000002272e-05
2024-03-30,0.999888405,1.00036205,0.999437585,0.99995793,5877790949.0,32461440814,0.18106993410055358,0.0009244649999998744,-6.952500000001471e-05
2024-03-29,1.000070157,1.000445214,0.999382105,0.99988026,7136644890.0,32410877900,0.22019289054802185,0.001063108999999951,0.00018989699999993892
2024-03-28,1.000071606,1.000798297,0.99954644,1.000027095,8026263655.0,32396256885,0.24775280932891638,0.0012518569999999674,4.451099999980279e-05
2024-03-27,1.000007505,1.000820294,0.999484664,1.000078126,10072829600.0,32104141996,0.31375482955610584,0.001335629999999921,-7.062100000010396e-05
2024-03-26,0.999906978,1.000401823,0.998938319,1.000057309,8407213538.0,32304149817,0.2602518124026195,0.0014635040000000599,-0.00015033100000005906
2024-03-25,1.000092056,1.001194153,0.998847174,0.999915256,8257351260.0,32256544261,0.2559899533312255,0.0023469789999999158,0.00017679999999997698
2024-03-24,1.000254997,1.001124756,0.999734687,1.000148333,5296441294.0,32025535921,0.16538181615649347,0.0013900690000000493,0.00010666400000003406
2024-03-23,0.999994266,1.000758943,0.999625474,1.000198202,5054824899.0,32041683481,0.15775778142235872,0.001133468999999887,-0.00020393600000001566
2024-03-22,1.000096988,1.001091404,0.999222755,1.000050148,8965555313.0,31991906025,0.28024448765240456,0.0018686490000000555,4.683999999999244e-05
2024-03-21,1.000154432,1.001724964,0.999650827,1.000107683,9554155555.0,31849831660,0.29997507230152815,0.0020741370000001425,4.6749000000012586e-05
2024-03-20,1.00023378,1.001482194,0.9996576,1.00017526,13623240407.0,31407351271,0.4337596089988979,0.0018245940000000127,5.8520000000061856e-05
2024-03-19,0.999927711,1.00145474,0.99946262,1.00009877,14129126750.0,31238202359,0.4523028113981493,0.0019921200000000416,-0.00017105899999991792
2024-03-18,1.000188417,1.001097251,0.999230879,0.999905672,12802524795.0,31188224864,0.4104922563187532,0.0018663720000000605,0.00028274499999991765
2024-03-17,1.000099306,1.001240988,0.999503629,1.000153742,11925580792.0,30843460801,0.3866485952709091,0.0017373589999999384,-5.4435999999880025e-05
2024-03-16,1.000008732,1.000942897,0.999029461,1.000115863,12373832704.0,30898219786,0.4004707322849257,0.001913436000000046,-0.00010713100000003806
2024-03-15,0.99985764,1.002098409,0.999112005,1.000036515,17489269628.0,30725047622,0.5692186337077372,0.0029864040000000536,-0.00017887499999991174
2024-03-14,0.999745937,1.000374115,0.998798904,0.999931889,13013493200.0,30605285032,0.42520411707956546,0.0015752110000000208,-0.00018595199999993373
2024-03-13,1.000005005,1.000662955,0.998984746,0.99976913,10114698359.0,30771065023,0.32870810131010136,0.0016782089999999306,0.0002358749999999965
2024-03-12,0.999981616,1.000417883,0.998485154,0.999954433,12511458622.0,30340213162,0.41237213974719666,0.0019327289999998554,2.71830000000417e-05
2024-03-11,1.000003148,1.000312956,0.998910671,0.99995669,12100716195.0,30430502761,0.397650879778049,0.0014022849999999476,4.645800000002698e-05
2024-03-10,1.0000595,1.000263637,0.999013876,0.999995056,7240540541.0,30141803645,0.2402159016851362,0.0012497609999999604,6.444400000005235e-05
2024-03-09,0.999844087,1.000298187,0.999024324,1.000039209,5513805821.0,30006020248,0.18375665201277444,0.0012738630000000972,-0.00019512200000004754
2024-03-08,0.999989762,1.000406035,0.997889578,0.999897335,10713621716.0,29943216494,0.35779795794973424,0.0025164569999999165,9.242700000000603e-05
2024-03-07,0.999829425,1.000452508,0.99820238,0.99970772,10388182989.0,29281832740,0.3547654643491417,0.002250128000000018,0.000121705000000083
2024-03-06,0.99984617,1.001525934,0.999147317,0.999800611,12709293551.0,29192577569,0.4353604446527591,0.0023786169999999718,4.555900000002833e-05
2024-03-05,0.999995741,1.000542653,0.998573509,0.99999796,18001924574.0,28831327171,0.6243876484502331,0.0019691439999999227,-2.218999999969995e-06
2024-03-04,0.999900844,1.000560434,0.999385612,0.999935207,10518120570.0,28880133301,0.3641991697329112,0.0011748220000000753,-3.4363000000037225e-05
2024-03-03,0.999842263,1.000435043,0.999369552,0.99989002,5663975274.0,29001243814,0.19530111571510544,0.001065490999999974,-4.775700000003713e-05
2024-03-02,0.999957128,1.000196801,0.99919443,0.999794545,5668798810.0,29015846479,0.1953690654554142,0.001002371000000002,0.00016258300000004944
2024-03-01,0.999849465,1.000252692,0.999338678,0.99994198,7468283734.0,28987779825,0.2576355891719279,0.0009140140000001296,-9.251499999995971e-05
2024-02-29,1.000010984,1.000317858,0.998903295,0.999753781,10631188477.0,28536339496,0.3725491308543689,0.0014145630000000908,0.00025720299999998364
2024-02-28,0.999976732,1.000217558,0.99807085,0.999952063,11959164677.0,28646808636,0.41746935335655866,0.0021467079999999417,2.4669000000088204e-05
2024-02-27,1.00001091,1.000326768,0.998905758,0.999920605,8273690025.0,28520330431,0.2900979722172841,0.0014210100000000558,9.030500000006825e-05
2024-02-26,1.000003099,1.000323448,0.999165906,0.999949608,6783326949.0,28457002817,0.2383710959520899,0.001157542000000067,5.34909999999611e-05
2024-02-25,1.000045124,1.000558581,0.999515195,0.999874973,3463826952.0,28180925306,0.12291388286184189,0.0010433859999999795,0.00017015099999995176
2024-02-24,0.99997244,1.000347508,0.99963916,1.000123601,3060116653.0,28145378091,0.10872537022263447,0.0007083479999999698,-0.00015116100000012178
2024-02-23,1.000089995,1.000517187,0.999681406,1.000018901,4974874020.0,28077895536,0.17718115709994997,0.0008357810000000354,7.109399999993826e-05
2024-02-22,1.000140729,1.000346302,0.999437449,1.000021191,6826866133.0,27982932257,0.2439653596807119,0.0009088530000000983,0.00011953799999986359
2024-02-21,0.999917929,1.000236142,0.999283317,1.000031499,6349227247.0,28075571929,0.22614774377727692,0.000952825000000157,-0.0001135700000001183
2024-02-20,0.99977199,1.000268563,0.999333496,0.999930802,7544920935.0,27962784913,0.2698200826017275,0.0009350670000001227,-0.00015881199999989715
2024-02-19,1.000031869,1.000186682,0.999477569,0.999876217,5396207837.0,28049271867,0.19238316996558633,0.0007091130000000945,0.00015565200000011714
2024-02-18,1.000005356,1.000304352,0.999390595,1.000052063,3863859252.0,28071806087,0.13764198997475072,0.0009137569999998485,-4.6707000000090204e-05
2024-02-17,0.999997475,1.000343825,0.999447955,1.000064707,3780445355.0,28115762808,0.13445999601064781,0.0008958700000000208,-6.723199999991714e-05
2024-02-16,0.999917428,1.000224416,0.999263178,1.000008901,5614125794.0,28107118360,0.199740354813093,0.0009612380000000309,-9.147299999989755e-05
2024-02-15,1.000005306,1.000245439,0.99920458,0.999964436,7527179544.0,28106097159,0.26781304787419347,0.0010408589999999496,4.0870000000081674e-05
2024-02-14,1.000195216,1.000597334,0.999488342,1.000032017,6680249701.0,28009452179,0.23849983420984208,0.0011089920000000308,0.00016319899999994725
2024-02-13,0.99995528,1.000694982,0.999566374,1.000096281,6825450889.0,27825257524,0.24529695306909102,0.00112860799999992,-0.00014100100000002946
2024-02-12,0.999928915,1.00077981,0.999767086,0.999972938,6739557067.0,27801555317,0.24241654792884623,0.001012724000000076,-4.402299999994863e-05
2024-02-11,1.00001091,1.000541195,0.999612846,0.999942425,4073957830.0,27926388851,0.1458820133077864,0.0009283490000000505,6.848500000011803e-05
2024-02-10,1.000011844,1.000392715,0.999783264,1.000013956,3745251311.0,27955410906,0.13397232198064976,0.0006094510000000941,-2.1119999999985595e-06
2024-02-09,0.999988498,1.000426426,0.999381789,0.99992537,8069980546.0,27913858293,0.28910301332380556,0.001044637000000015,6.312799999996788e-05
2024-02-08,0.999864082,1.000240441,0.999376117,1.000048423,6233371927.0,27719714788,0.22487143084525738,0.0008643240000001384,-0.00018434099999997677
2024-02-07,1.000154558,1.000723839,0.999694188,1.000092578,5719303290.0,27449431119,0.20835780767934392,0.0010296509999999648,6.1979999999906e-05
2024-02-06,1.000095905,1.000825542,0.999843256,1.00022062,4415864090.0,27320805279,0.16163008538383866,0.0009822860000000544,-0.00012471499999988644
2024-02-05,1.000166684,1.000889632,0.999799304,1.000056653,4507910878.0,27035606163,0.1667397746076569,0.0010903279999999738,0.00011003100000017696
2024-02-04,1.000171144,1.000522918,0.999929635,1.000127171,2734642073.0,27107305250,0.10088210715818018,0.0005932829999999445,4.397300000014148e-05
2024-02-03,1.00013125,1.000464076,0.999865101,1.000145393,2502413315.0,27069983084,0.09244236715016929,0.0005989750000000571,-1.4143000000021999e-05
2024-02-02,1.000331115,1.00072665,0.999891844,1.000142472,4598678104.0,27006885894,0.17027798473505854,0.0008348060000000768,0.00018864299999998835
2024-02-01,1.000170057,1.000920113,0.999794007,1.000343665,5394329612.0,26786229584,0.2013844313207168,0.001126106000000071,-0.00017360799999988075
2024-01-31,1.000068048,1.000760011,0.999779715,1.000173667,7284362922.0,26871995262,0.2710763696918666,0.000980295999999936,-0.00010561900000016777
2024-01-30,1.00017464,1.000385262,0.999753978,1.000056284,5630117915.0,26614029261,0.21154699499975124,0.0006312840000000097,0.00011835599999998614
2024-01-29,1.000116594,1.000667617,0.999932225,1.000175635,4920736968.0,26331815134,0.18687420304900582,0.0007353919999999459,-5.904099999987089e-05
2024-01-28,1.000139165,1.000326378,0.999699749,1.000122511,4447643739.0,26142770905,0.170129010240049,0.0006266289999999897,1.665399999994932e-05
2024-01-27,1.000126001,1.000626084,0.999905094,1.00008783,2863545371.0,26114535400,0.10965331479724506,0.0007209900000000324,3.817099999992024e-05
2024-01-26,1.000132709,1.001041882,0.999886806,1.000143755,5487181666.0,26062751001,0.21053731686994448,0.0011550759999999771,-1.1046000000014544e-05
2024-01-25,1.000066604,1.000834962,0.999874765,1.000285363,4814403169.0,25929581931,0.1856722249441346,0.0009601970000000515,-0.0002187590000000128
2024-01-24,1.000171364,1.000821544,0.99984312,1.000179292,5374964637.0,25817370120,0.20819179536943477,0.0009784239999999222,-7.928000000045898e-06
2024-01-23,0.999954953,1.001184611,0.999742148,1.00008686,6820740579.0,25669563505,0.26571315003745327,0.0014424629999999494,-0.00013190699999987565
2024-01-22,1.000020746,1.000955645,0.999785547,1.000019991,7125306569.0,25642739363,0.2778683848138756,0.0011700979999998973,7.549999998524015e-07
2024-01-21,1.00010498,1.000919338,0.999822799,1.000019329,2267115211.0,25774773289,0.08795868679735568,0.001096539000000063,8.56510000000199e-05
2024-01-20,1.000242015,1.001625214,0.999777076,1.000050096,2710642311.0,25728181103,0.10535693526675033,0.0018481379999999437,0.00019191899999992934
2024-01-19,1.000390246,1.000803659,0.999693839,1.000191031,5781605843.0,25461513823,0.22707235253927974,0.0011098200000000391,0.00019921500000008585
2024-01-18,1.000183373,1.001233158,0.999698291,1.000217121,6065965043.0,25624196500,0.2367280099104766,0.0015348670000000508,-3.374799999988909e-05
2024-01-17,1.000185292,1.000956409,0.999807144,1.000163677,5296515232.0,25666081193,0.2063624435757079,0.0011492650000000104,2.161500000008587e-05
2024-01-16,1.000217904,1.000931893,0.999852654,1.000205924,5325841668.0,25435131547,0.2093891929813183,0.001079238999999954,1.1980000000022528e-05
2024-01-15,1.000155309,1.000850036,0.999846151,1.000522138,4968009259.0,25478813034,0.19498589876892927,0.0010038850000001487,-0.00036682900000006846
2024-01-14,1.000187547,1.000569773,0.999886731,1.000191392,3885825077.0,25486391648,0.15246666262797282,0.0006830420000000226,-3.845000000168852e-06
2024-01-13,1.000476878,1.000556415,0.999749523,1.00014979,4721219489.0,25481679452,0.18527897652481623,0.000806891999999948,0.0003270879999999199
2024-01-12,1.000196983,1.000801206,0.999491075,1.00029516,9173229465.0,25379148226,0.3614474915908472,0.0013101309999999922,-9.817700000014362e-05
2024-01-11,0.99989017,1.000441829,0.999377448,1.000237005,9752773344.0,25249499862,0.386256100013994,0.0010643809999999476,-0.0003468349999999898
2024-01-10,1.000030726,1.00071008,0.999428295,0.999814904,10293999660.0,25242165938,0.4078096818349186,0.0012817849999999797,0.00021582200000014318
2024-01-09,1.000024787,1.000722284,0.99941286,0.999992129,7685031179.0,25229069271,0.30461017394064926,0.0013094240000001145,3.265800000007424e-05
2024-01-08,1.000037813,1.000857858,0.999475741,0.999854819,7434325806.0,25330732049,0.293490365443011,0.001382117000000016,0.0001829940000001029
2024-01-07,0.999992836,1.000585365,0.99966536,0.999980023,3454405965.0,25384180609,0.13608499002623844,0.0009200050000001125,1.2813000000000407e-05
2024-01-06,1.000053918,1.000496109,0.999777343,1.000112626,3301845016.0,25399267725,0.12999764606402645,0.0007187659999999818,-5.870799999985188e-05
2024-01-05,0.999875048,1.000743629,0.999670866,1.000051316,6668210536.0,25348955834,0.26305661580963724,0.001072763000000032,-0.00017626799999992393
2024-01-04,0.999916087,1.000654901,0.999855043,0.999979338,6513854273.0,25132460067,0.2591809260070394,0.0007998580000000421,-6.325100000004191e-05
2024-01-03,1.000089998,1.00092552,0.997813763,1.000182352,9659438355.0,24916102583,0.38767854333649016,0.0031117569999999928,-9.235399999996119e-05
2024-01-02,1.000025098,1.000760457,0.999484792,1.000162945,7168716923.0,24785109949,0.28923482436636255,0.0012756649999999814,-0.00013784699999996874
2024-01-01,1.000095394,1.000776603,0.999842794,1.000130951,3619152850.0,24546920963,0.14743815957427867,0.0009338090000000632,-3.55570000001304e-05
2023-12-31,1.000135691,1.001227212,0.999834357,1.000069646,3568612484.0,24519751149,0.14554032226161237,0.0013928550000000817,6.604500000007008e-05
